time,Node_2.Analog_channel_0,Node_2.Analog_channel_1,Node_2.Analog_channel_2,Node_2.Analog_channel_3,Node_2.Analog_channel_4,Node_2.Analog_channel_5,Node_2.Analog_channel_6,Node_2.Analog_channel_7,Node_2.Module_uptime,Node_2.Module_error_code,Node_3.Analog_channel_4,Node_3.Analog_channel_6,Node_3.Analog_channel_10,Node_3.Analog_channel_11,Node_3.Environmental_sensor_temperature,Node_3.Environmental_sensor_humidity,Node_3.Module_uptime,Node_3.Module_error_code,Node_4.Analog_channel_0,Node_4.Analog_channel_1,Node_4.Analog_channel_2,Node_4.Environmental_sensor_temperature,Node_4.Environmental_sensor_humidity,Node_4.Environmental_sensor_CO2,Node_4.Module_uptime,Node_4.Module_error_code
1659727404, 21.234156, 21.290277, 21.289148, 21.413019, 21.527735, 21.291742, 21.387323, 21.293604, 1412, 0, 21.943659, 21.730097, 0.000355, 0.066923, 23.069353, 55.965515, 1481, 0, 21.468927, 21.537928, 22.121302, 24.810410, 49.362183, 236.761185, 1543, 0,
1659727407, 21.237085, 21.291864, 21.290369, 21.414087, 21.529108, 21.292719, 21.388575, 21.295313, 1415, 0, 21.943537, 21.729517, 0.000353, 0.067707, 23.082705, 55.956360, 1484, 0, 21.468836, 21.537226, 22.122461, 24.783707, 49.317932, 235.592682, 1546, 0,
1659727410, 21.239252, 21.293482, 21.289789, 21.414423, 21.530970, 21.293970, 21.389093, 21.296045, 1418, 0, 21.943476, 21.729822, 0.000329, 0.068483, 23.056000, 56.006714, 1487, 0, 21.468317, 21.536249, 22.123590, 24.797058, 49.293518, 234.430206, 1549, 0,
1659727413, 21.240381, 21.294641, 21.288904, 21.415003, 21.532373, 21.295465, 21.389917, 21.297113, 1421, 0, 21.943689, 21.730951, 0.000290, 0.069007, 23.082705, 56.478218, 1490, 0, 21.469782, 21.535975, 22.123316, 24.810410, 49.206543, 234.097427, 1552, 0,
1659727416, 21.241602, 21.295771, 21.287317, 21.415308, 21.533899, 21.296717, 21.390650, 21.297937, 1424, 0, 21.943598, 21.729731, 0.000301, 0.069470, 23.082705, 56.716259, 1493, 0, 21.472742, 21.536219, 22.123377, 24.797058, 49.253845, 233.259430, 1555, 0,
1659727419, 21.244471, 21.297754, 21.288050, 21.416498, 21.536066, 21.298792, 21.392023, 21.298731, 1427, 0, 21.943293, 21.729578, 0.000313, 0.069231, 23.069353, 56.574348, 1496, 0, 21.477106, 21.537073, 22.122919, 24.810410, 49.375916, 231.382767, 1558, 0,
1659727422, 21.245661, 21.298822, 21.288660, 21.418604, 21.538233, 21.300623, 21.394129, 21.299677, 1430, 0, 21.942408, 21.728296, 0.000301, 0.069186, 23.069353, 56.400398, 1499, 0, 21.481989, 21.537561, 22.121576, 24.810410, 49.375916, 229.862747, 1561, 0,
1659727425, 21.247126, 21.299250, 21.289820, 21.420588, 21.538446, 21.300745, 21.395319, 21.300470, 1433, 0, 21.942102, 21.727442, 0.000363, 0.069668, 23.069353, 56.290531, 1502, 0, 21.487299, 21.541681, 22.121759, 24.797058, 49.307251, 228.156616, 1564, 0,
