time,Node_2.Analog_channel_0,Node_2.Analog_channel_1,Node_2.Analog_channel_2,Node_2.Analog_channel_3,Node_2.Analog_channel_4,Node_2.Analog_channel_5,Node_2.Analog_channel_6,Node_2.Analog_channel_7,Node_2.Module_uptime,Node_2.Module_error_code,Node_3.Analog_channel_4,Node_3.Analog_channel_6,Node_3.Analog_channel_10,Node_3.Analog_channel_11,Node_3.Environmental_sensor_temperature,Node_3.Environmental_sensor_humidity,Node_3.Module_uptime,Node_3.Module_error_code,Node_4.Analog_channel_0,Node_4.Analog_channel_1,Node_4.Analog_channel_2,Node_4.Environmental_sensor_temperature,Node_4.Environmental_sensor_humidity,Node_4.Environmental_sensor_CO2,Node_4.Module_uptime,Node_4.Module_error_code
1659726625, 21.251459, 21.288691, 21.269587, 21.425104, 21.540979, 21.285913, 21.395105, 21.291925, 633, 0, 21.973413, 21.758204, 0.000325, 0.072553, 23.138781, 55.965515, 701, 0, 21.486933, 21.544336, 22.132105, 24.826431, 48.854065, 223.608826, 764, 0,
1659726628, 21.253443, 21.290888, 21.275385, 21.427485, 21.543116, 21.288202, 21.395960, 21.294641, 636, 0, 21.974970, 21.759180, 0.000289, 0.071076, 23.138781, 55.835812, 704, 0, 21.486383, 21.542353, 22.131678, 24.810410, 48.851013, 221.270340, 767, 0,
1659726631, 21.253199, 21.291620, 21.278437, 21.427362, 21.542200, 21.289026, 21.396235, 21.295069, 639, 0, 21.974054, 21.758722, 0.000329, 0.070181, 23.125429, 55.777828, 707, 0, 21.488520, 21.543879, 22.132441, 24.826431, 48.854065, 218.901077, 770, 0,
1659726634, 21.252527, 21.292017, 21.281275, 21.429285, 21.542231, 21.291010, 21.397333, 21.296442, 642, 0, 21.975428, 21.760004, 0.000255, 0.068622, 23.112078, 55.732052, 710, 0, 21.490931, 21.544977, 22.132807, 24.826431, 48.867798, 218.436249, 773, 0,
1659726637, 21.250422, 21.290888, 21.280878, 21.428492, 21.539637, 21.290094, 21.396296, 21.295954, 645, 0, 21.977106, 21.761499, 0.000269, 0.068385, 23.138781, 55.684750, 713, 0, 21.491816, 21.543909, 22.131891, 24.797058, 48.837280, 217.485397, 776, 0,
1659726640, 21.248316, 21.289423, 21.278589, 21.428400, 21.537714, 21.290918, 21.394861, 21.296167, 648, 0, 21.977411, 21.761286, 0.000268, 0.070067, 23.112078, 55.645077, 716, 0, 21.493311, 21.545679, 22.132624, 24.810410, 48.864746, 216.688385, 779, 0,
1659726643, 21.248835, 21.290277, 21.276941, 21.427973, 21.538660, 21.291742, 21.395716, 21.296808, 651, 0, 21.977198, 21.760340, 0.000344, 0.071497, 23.138781, 55.606926, 719, 0, 21.491571, 21.545160, 22.132471, 24.826431, 48.867798, 214.434464, 782, 0,
1659726646, 21.248072, 21.289911, 21.275873, 21.427393, 21.538507, 21.292139, 21.396540, 21.297907, 654, 0, 21.977259, 21.761164, 0.000339, 0.072314, 23.138781, 55.617607, 722, 0, 21.488337, 21.544153, 22.132349, 24.783707, 48.860168, 213.772263, 785, 0,
1659726649, 21.246241, 21.288416, 21.274561, 21.425470, 21.536127, 21.290430, 21.395105, 21.295984, 657, 0, 21.977747, 21.761255, 0.000318, 0.072969, 23.154802, 55.599297, 725, 0, 21.486383, 21.544062, 22.132990, 24.783707, 48.899841, 211.121552, 788, 0,
1659726652, 21.246363, 21.289667, 21.275904, 21.425989, 21.536646, 21.291620, 21.394831, 21.296320, 660, 0, 21.977747, 21.760981, 0.000290, 0.072252, 23.138781, 55.574883, 728, 0, 21.483210, 21.542078, 22.132441, 24.797058, 48.876953, 211.730820, 791, 0,
