time,Node_2.Analog_channel_0,Node_2.Analog_channel_1,Node_2.Analog_channel_2,Node_2.Analog_channel_3,Node_2.Analog_channel_4,Node_2.Analog_channel_5,Node_2.Analog_channel_6,Node_2.Analog_channel_7,Node_2.Module_uptime,Node_2.Module_error_code,Node_3.Analog_channel_4,Node_3.Analog_channel_6,Node_3.Analog_channel_10,Node_3.Analog_channel_11,Node_3.Environmental_sensor_temperature,Node_3.Environmental_sensor_humidity,Node_3.Module_uptime,Node_3.Module_error_code,Node_4.Analog_channel_0,Node_4.Analog_channel_1,Node_4.Analog_channel_2,Node_4.Environmental_sensor_temperature,Node_4.Environmental_sensor_humidity,Node_4.Environmental_sensor_CO2,Node_4.Module_uptime,Node_4.Module_error_code
1659727151, 21.223475, 21.266108, 21.236902, 21.354364, 21.502527, 21.259485, 21.352533, 21.264093, 1159, 0, 21.960077, 21.730341, 0.000412, 0.068066, 23.082705, 55.858700, 1227, 0, 21.509638, 21.549616, 22.121393, 24.866486, 48.977661, 190.690445, 1290, 0,
1659727154, 21.226892, 21.267603, 21.242579, 21.358393, 21.504297, 21.261438, 21.353083, 21.265558, 1162, 0, 21.960932, 21.730677, 0.000432, 0.067848, 23.069353, 55.835812, 1230, 0, 21.506617, 21.548944, 22.120600, 24.882507, 48.927307, 190.217590, 1293, 0,
1659727157, 21.230433, 21.269526, 21.248529, 21.362177, 21.505854, 21.263636, 21.354425, 21.266565, 1165, 0, 21.960566, 21.731165, 0.000373, 0.068295, 23.082705, 55.858700, 1233, 0, 21.504755, 21.547327, 22.120234, 24.866486, 48.936462, 190.110779, 1296, 0,
1659727160, 21.232874, 21.271479, 21.250849, 21.366632, 21.507776, 21.267023, 21.356287, 21.267603, 1168, 0, 21.960016, 21.731043, 0.000346, 0.068736, 23.098726, 55.840389, 1236, 0, 21.504755, 21.549036, 22.121058, 24.866486, 48.963928, 190.056046, 1299, 0,
1659727163, 21.233393, 21.271051, 21.251734, 21.370234, 21.507380, 21.268671, 21.357904, 21.269251, 1171, 0, 21.960779, 21.731653, 0.000357, 0.068951, 23.112078, 55.819027, 1239, 0, 21.503077, 21.546961, 22.120111, 24.866486, 48.963928, 190.081787, 1302, 0,
1659727166, 21.232019, 21.269953, 21.250696, 21.372980, 21.505793, 21.270075, 21.358667, 21.268824, 1174, 0, 21.960108, 21.731134, 0.000349, 0.069931, 23.098726, 55.851070, 1242, 0, 21.502069, 21.545679, 22.119593, 24.866486, 48.936462, 189.854797, 1305, 0,
1659727169, 21.230677, 21.269648, 21.248957, 21.376551, 21.505945, 21.271235, 21.360132, 21.269068, 1177, 0, 21.961145, 21.731653, 0.000306, 0.070223, 23.125429, 55.877014, 1245, 0, 21.497217, 21.544794, 22.120508, 24.882507, 48.951721, 189.733002, 1308, 0,
1659727172, 21.227472, 21.269007, 21.245630, 21.378412, 21.504999, 21.271814, 21.360376, 21.268702, 1180, 0, 21.960657, 21.731653, 0.000270, 0.071197, 23.154802, 55.849545, 1248, 0, 21.492762, 21.542109, 22.120935, 24.866486, 48.977661, 189.529633, 1311, 0,
